Starting procces. Date and time is 12/13/2022, 18:31:19


[12/13/2022, 18:31:20] [INFO - CLIENT]: Logged in as Oxyroid#6023
[12/13/2022, 18:31:20] [INFO - BUTTONS]: Loaded button: test.ts
[12/13/2022, 18:31:20] [INFO - COMMANDS]: Loaded command: clear.ts
[12/13/2022, 18:31:20] [INFO - COMMANDS]: Loaded command: dump.ts
[12/13/2022, 18:31:20] [INFO - COMMANDS]: Loaded command: help.ts
[12/13/2022, 18:31:20] [INFO - COMMANDS]: Loaded command: invite.ts
[12/13/2022, 18:31:20] [INFO - COMMANDS]: Loaded command: ping.ts
[12/13/2022, 18:31:20] [INFO - SERVER]: Server listening on port 4000
[12/13/2022, 18:31:20] [INFO - FEATURES]: Loaded feature: OnGuildAddRegisterCommands.ts
[12/13/2022, 18:31:20] [INFO - FEATURES]: Loaded feature: CreatePerGuildModel.ts
[12/13/2022, 18:31:21] [ERR - COMMANDS]: Failed to register commands on API: DiscordAPIError[50035]: Invalid Form Body
4[APPLICATION_COMMANDS_DUPLICATE_NAME]: Application command names must be unique
