Starting procces. Date and time is 04/01/2023, 17:22:21


[04/01/2023, 17:22:22] [INFO - CLIENT]: Logged in as Oxyroid#6023
[04/01/2023, 17:22:22] [INFO - SERVER]: Server listening on port 4000
[04/01/2023, 17:22:22] [INFO - FEATURES]: Loaded feature: CreatePerGuildModel.ts
[04/01/2023, 17:22:22] [INFO - FEATURES]: Loaded feature: OnGuildAddRegisterCommands.ts
[04/01/2023, 17:22:22] [INFO - BUTTONS]: Loaded button: deleteMe.ts
[04/01/2023, 17:22:22] [INFO - BUTTONS]: Loaded button: helpCategory.ts
[04/01/2023, 17:22:22] [INFO - COMMANDS]: Loaded command: clear.ts
[04/01/2023, 17:22:22] [INFO - COMMANDS]: Loaded command: dump.ts
[04/01/2023, 17:22:23] [INFO - COMMANDS]: Loaded command: help.ts
[04/01/2023, 17:22:23] [INFO - COMMANDS]: Loaded command: invite.ts
[04/01/2023, 17:22:23] [INFO - COMMANDS]: Loaded command: ping.ts
[04/01/2023, 17:22:23] [INFO - COMMANDS]: Loaded command: play.ts
[04/01/2023, 17:22:23] [INFO - COMMANDS]: Loaded command: skip.ts
[04/01/2023, 17:22:23] [INFO - COMMANDS]: Successfully updated slash commands.
[04/01/2023, 17:22:24] [INFO - DB]: Connected to database
[04/01/2023, 17:22:29] [DEB - COMMANDS]: Command used: play
[04/01/2023, 17:22:46] [DEB - COMMANDS]: Command used: play
[04/01/2023, 17:22:48] [DEB - COMMANDS]: Command used: skip
[04/01/2023, 17:23:24] [INFO - PROCESS]: Exiting with reason: "SIGUSR2"
