Starting procces. Date and time is 9/9/2022, 1:48:14 PM


[9/9/2022, 1:48:15 PM] [INFO - CLIENT]: Logged in as Oxyroid#6023
[9/9/2022, 1:48:15 PM] [INFO - BUTTONS]: Loaded button: test.ts
[9/9/2022, 1:48:15 PM] [INFO - COMMANDS]: Loaded command: clear.ts
[9/9/2022, 1:48:16 PM] [INFO - COMMANDS]: Loaded command: dump.ts
[9/9/2022, 1:48:16 PM] [INFO - COMMANDS]: Loaded command: help.ts
[9/9/2022, 1:48:16 PM] [INFO - COMMANDS]: Loaded command: ping.ts
[9/9/2022, 1:48:15 PM] [INFO - FEATURES]: Loaded feature: OnGuildAddRegisterCommands.ts
[9/9/2022, 1:48:15 PM] [INFO - SERVER]: Server listening on port 4000
[9/9/2022, 1:48:15 PM] [INFO - FEATURES]: Loaded feature: CreatePerGuildModel.ts
[9/9/2022, 1:48:16 PM] [INFO - COMMANDS]: Successfully updated slash commands.
[9/9/2022, 1:48:16 PM] [INFO - DB]: Connected to database
