Starting procces. Date and time is 04/01/2023, 17:16:36


[04/01/2023, 17:16:37] [INFO - CLIENT]: Logged in as Oxyroid#6023
[04/01/2023, 17:16:37] [INFO - SERVER]: Server listening on port 4000
[04/01/2023, 17:16:38] [INFO - FEATURES]: Loaded feature: CreatePerGuildModel.ts
[04/01/2023, 17:16:38] [INFO - FEATURES]: Loaded feature: OnGuildAddRegisterCommands.ts
[04/01/2023, 17:16:38] [INFO - BUTTONS]: Loaded button: deleteMe.ts
[04/01/2023, 17:16:38] [INFO - COMMANDS]: Loaded command: clear.ts
[04/01/2023, 17:16:38] [INFO - BUTTONS]: Loaded button: helpCategory.ts
[04/01/2023, 17:16:38] [INFO - COMMANDS]: Loaded command: dump.ts
[04/01/2023, 17:16:38] [INFO - COMMANDS]: Loaded command: help.ts
[04/01/2023, 17:16:38] [INFO - COMMANDS]: Loaded command: invite.ts
[04/01/2023, 17:16:38] [INFO - COMMANDS]: Loaded command: ping.ts
[04/01/2023, 17:16:38] [INFO - COMMANDS]: Loaded command: play.ts
[04/01/2023, 17:16:38] [INFO - COMMANDS]: Loaded command: skip.ts
[04/01/2023, 17:16:38] [INFO - COMMANDS]: Successfully updated slash commands.
[04/01/2023, 17:16:39] [DEB - COMMANDS]: Command used: play
[04/01/2023, 17:16:39] [INFO - DB]: Connected to database
[04/01/2023, 17:16:45] [DEB - COMMANDS]: Command used: play
[04/01/2023, 17:16:59] [DEB - COMMANDS]: Command used: play
[04/01/2023, 17:17:23] [DEB - COMMANDS]: Command used: play
[04/01/2023, 17:17:27] [DEB - COMMANDS]: Command used: skip
[04/01/2023, 17:17:54] [DEB - COMMANDS]: Command used: play
[04/01/2023, 17:21:53] [INFO - PROCESS]: Exiting with reason: "SIGUSR2"
