Starting procces. Date and time is 25/12/2022, 11:53:09


[25/12/2022, 11:53:10] [INFO - CLIENT]: Logged in as Oxyroid#6023
[25/12/2022, 11:53:10] [INFO - SERVER]: Server listening on port 4000
[25/12/2022, 11:53:11] [INFO - BUTTONS]: Loaded button: test.ts
[25/12/2022, 11:53:11] [INFO - COMMANDS]: Loaded command: dump.ts
[25/12/2022, 11:53:11] [INFO - COMMANDS]: Loaded command: help.ts
[25/12/2022, 11:53:12] [INFO - COMMANDS]: Loaded command: invite.ts
[25/12/2022, 11:53:12] [INFO - COMMANDS]: Loaded command: ping.ts
[25/12/2022, 11:53:11] [INFO - COMMANDS]: Loaded command: clear.ts
[25/12/2022, 11:53:11] [INFO - FEATURES]: Loaded feature: OnGuildAddRegisterCommands.ts
[25/12/2022, 11:53:11] [INFO - FEATURES]: Loaded feature: CreatePerGuildModel.ts
[25/12/2022, 11:53:12] [INFO - COMMANDS]: Successfully updated slash commands.
[25/12/2022, 11:53:17] [INFO - DB]: Connected to database
[25/12/2022, 11:55:29] [INFO - PROCESS]: Exiting with reason: "SIGUSR2"
