Starting procces. Date and time is 20/12/2022, 13:22:32


[20/12/2022, 13:22:33] [INFO - SERVER]: Server listening on port 4000
[20/12/2022, 13:22:34] [INFO - BUTTONS]: Loaded button: test.ts
[20/12/2022, 13:22:34] [INFO - FEATURES]: Loaded feature: CreatePerGuildModel.ts
[20/12/2022, 13:22:35] [INFO - COMMANDS]: Loaded command: dump.ts
[20/12/2022, 13:22:35] [INFO - COMMANDS]: Loaded command: help.ts
[20/12/2022, 13:22:35] [INFO - COMMANDS]: Loaded command: invite.ts
[20/12/2022, 13:22:35] [INFO - COMMANDS]: Loaded command: ping.ts
[20/12/2022, 13:22:33] [INFO - CLIENT]: Logged in as Oxyroid#6023
[20/12/2022, 13:22:34] [INFO - COMMANDS]: Loaded command: clear.ts
[20/12/2022, 13:22:34] [INFO - FEATURES]: Loaded feature: OnGuildAddRegisterCommands.ts
[20/12/2022, 13:22:36] [INFO - COMMANDS]: Successfully updated slash commands.
[20/12/2022, 13:22:36] [INFO - DB]: Connected to database
[20/12/2022, 13:22:57] [DEB - COMMANDS]: Command used: help
[20/12/2022, 13:38:47] [INFO - DB]: Reconnected to database
[20/12/2022, 13:38:47] [INFO - DB]: Connected to database
[20/12/2022, 13:39:48] [INFO - DB]: Reconnected to database
[20/12/2022, 13:39:48] [INFO - DB]: Connected to database
[20/12/2022, 14:06:32] [INFO - PROCESS]: Exiting with reason: "SIGUSR2"
