Starting procces. Date and time is 25/12/2022, 11:23:10


[25/12/2022, 11:23:11] [INFO - CLIENT]: Logged in as Oxyroid#6023
[25/12/2022, 11:23:11] [INFO - SERVER]: Server listening on port 4000
[25/12/2022, 11:23:12] [INFO - COMMANDS]: Loaded command: clear.ts
[25/12/2022, 11:23:13] [INFO - COMMANDS]: Loaded command: dump.ts
[25/12/2022, 11:23:12] [INFO - FEATURES]: Loaded feature: CreatePerGuildModel.ts
[25/12/2022, 11:23:13] [INFO - COMMANDS]: Loaded command: invite.ts
[25/12/2022, 11:23:13] [INFO - COMMANDS]: Loaded command: log.ts
[25/12/2022, 11:23:14] [INFO - COMMANDS]: Loaded command: ping.ts
[25/12/2022, 11:23:13] [INFO - COMMANDS]: Loaded command: help.ts
[25/12/2022, 11:23:12] [INFO - FEATURES]: Loaded feature: OnGuildAddRegisterCommands.ts
[25/12/2022, 11:23:12] [INFO - BUTTONS]: Loaded button: test.ts
[25/12/2022, 11:23:14] [INFO - COMMANDS]: Successfully updated slash commands.
[25/12/2022, 11:23:14] [INFO - DB]: Connected to database
[25/12/2022, 11:26:02] [INFO - PROCESS]: Exiting with reason: "SIGUSR2"
