Starting procces. Date and time is 12/12/2022, 11:08:23


[12/12/2022, 11:08:24] [INFO - CLIENT]: Logged in as Oxyroid#6023
[12/12/2022, 11:08:24] [INFO - FEATURES]: Loaded feature: OnGuildAddRegisterCommands.ts
[12/12/2022, 11:08:24] [INFO - COMMANDS]: Loaded command: clear.ts
[12/12/2022, 11:08:24] [INFO - COMMANDS]: Loaded command: dump.ts
[12/12/2022, 11:08:24] [INFO - FEATURES]: Loaded feature: CreatePerGuildModel.ts
[12/12/2022, 11:08:24] [INFO - COMMANDS]: Loaded command: ping.ts
[12/12/2022, 11:08:24] [INFO - COMMANDS]: Loaded command: help.ts
[12/12/2022, 11:08:24] [INFO - SERVER]: Server listening on port 4000
[12/12/2022, 11:08:24] [INFO - BUTTONS]: Loaded button: test.ts
[12/12/2022, 11:08:25] [INFO - DB]: Connected to database
[12/12/2022, 11:08:45] [INFO - COMMANDS]: Successfully updated slash commands.
[12/12/2022, 11:08:48] [INFO - PROCESS]: Exiting with reason: "SIGUSR2"
