Starting procces. Date and time is 25/12/2022, 12:04:27


[25/12/2022, 12:04:28] [INFO - CLIENT]: Logged in as Oxyroid#6023
[25/12/2022, 12:04:29] [INFO - BUTTONS]: Loaded button: test.ts
[25/12/2022, 12:04:29] [INFO - COMMANDS]: Loaded command: clear.ts
[25/12/2022, 12:04:29] [INFO - COMMANDS]: Loaded command: dump.ts
[25/12/2022, 12:04:29] [INFO - COMMANDS]: Loaded command: help.ts
[25/12/2022, 12:04:29] [INFO - COMMANDS]: Loaded command: invite.ts
[25/12/2022, 12:04:29] [INFO - COMMANDS]: Loaded command: ping.ts
[25/12/2022, 12:04:29] [INFO - FEATURES]: Loaded feature: CreatePerGuildModel.ts
[25/12/2022, 12:04:28] [INFO - SERVER]: Server listening on port 4000
[25/12/2022, 12:04:29] [INFO - FEATURES]: Loaded feature: OnGuildAddRegisterCommands.ts
[25/12/2022, 12:04:30] [INFO - DB]: Connected to database
[25/12/2022, 12:04:30] [INFO - COMMANDS]: Successfully updated slash commands.
[25/12/2022, 12:04:43] [INFO - PROCESS]: Exiting with reason: "SIGUSR2"
