Starting procces. Date and time is 12/12/2022, 10:56:28


[12/12/2022, 10:56:29] [INFO - CLIENT]: Logged in as Oxyroid#6023
[12/12/2022, 10:56:29] [INFO - SERVER]: Server listening on port 4000
[12/12/2022, 10:56:29] [INFO - COMMANDS]: Loaded command: clear.ts
[12/12/2022, 10:56:29] [INFO - COMMANDS]: Loaded command: dump.ts
[12/12/2022, 10:56:29] [INFO - COMMANDS]: Loaded command: help.ts
[12/12/2022, 10:56:30] [INFO - COMMANDS]: Loaded command: ping.ts
[12/12/2022, 10:56:29] [INFO - FEATURES]: Loaded feature: OnGuildAddRegisterCommands.ts
[12/12/2022, 10:56:29] [INFO - BUTTONS]: Loaded button: test.ts
[12/12/2022, 10:56:29] [INFO - FEATURES]: Loaded feature: CreatePerGuildModel.ts
