Starting procces. Date and time is 25/12/2022, 12:04:49


[25/12/2022, 12:04:49] [INFO - CLIENT]: Logged in as Oxyroid#6023
[25/12/2022, 12:04:49] [INFO - SERVER]: Server listening on port 4000
[25/12/2022, 12:04:50] [INFO - FEATURES]: Loaded feature: CreatePerGuildModel.ts
[25/12/2022, 12:04:50] [INFO - FEATURES]: Loaded feature: OnGuildAddRegisterCommands.ts
[25/12/2022, 12:04:50] [INFO - BUTTONS]: Loaded button: test.ts
[25/12/2022, 12:04:51] [INFO - COMMANDS]: Loaded command: dump.ts
[25/12/2022, 12:04:51] [INFO - COMMANDS]: Loaded command: help.ts
[25/12/2022, 12:04:51] [INFO - COMMANDS]: Loaded command: invite.ts
[25/12/2022, 12:04:51] [INFO - COMMANDS]: Loaded command: ping.ts
[25/12/2022, 12:04:50] [INFO - COMMANDS]: Loaded command: clear.ts
[25/12/2022, 12:04:51] [INFO - COMMANDS]: Successfully updated slash commands.
[25/12/2022, 12:04:52] [INFO - DB]: Connected to database
[25/12/2022, 12:04:53] [DEB - COMMANDS]: Command used: dump
[25/12/2022, 12:15:56] [INFO - PROCESS]: Exiting with reason: "SIGUSR2"
