Starting procces. Date and time is 9/6/2022, 12:21:00 PM


[9/6/2022, 12:21:01 PM] [INFO - FEATURES]: Loaded feature: CreatePerGuildModel.ts
[9/6/2022, 12:21:01 PM] [INFO - FEATURES]: Loaded feature: OnGuildAddRegisterCommands.ts
[9/6/2022, 12:21:01 PM] [INFO - COMMANDS]: Loaded command: clear.ts
[9/6/2022, 12:21:01 PM] [INFO - COMMANDS]: Loaded command: dump.ts
[9/6/2022, 12:21:01 PM] [INFO - COMMANDS]: Loaded command: help.ts
[9/6/2022, 12:21:01 PM] [INFO - COMMANDS]: Loaded command: ping.ts
[9/6/2022, 12:21:00 PM] [INFO - SERVER]: Server listening on port 10
[9/6/2022, 12:21:01 PM] [INFO - BUTTONS]: Loaded button: test.ts
[9/6/2022, 12:21:00 PM] [INFO - CLIENT]: Logged in as Disbase - mattsivak#2279
[9/6/2022, 12:21:01 PM] [INFO - DB]: Connected to database
[9/6/2022, 12:21:17 PM] [INFO - COMMANDS]: Successfully updated slash commands.
