Starting procces. Date and time is 19/12/2022, 16:02:43


[19/12/2022, 16:02:44] [INFO - CLIENT]: Logged in as Oxyroid#6023
[19/12/2022, 16:02:44] [INFO - SERVER]: Server listening on port 4000
[19/12/2022, 16:02:44] [INFO - COMMANDS]: Loaded command: clear.ts
[19/12/2022, 16:02:45] [INFO - COMMANDS]: Loaded command: dump.ts
[19/12/2022, 16:02:45] [INFO - COMMANDS]: Loaded command: help.ts
[19/12/2022, 16:02:45] [INFO - COMMANDS]: Loaded command: invite.ts
[19/12/2022, 16:02:45] [INFO - COMMANDS]: Loaded command: ping.ts
[19/12/2022, 16:02:44] [INFO - FEATURES]: Loaded feature: CreatePerGuildModel.ts
[19/12/2022, 16:02:44] [INFO - FEATURES]: Loaded feature: OnGuildAddRegisterCommands.ts
[19/12/2022, 16:02:44] [INFO - BUTTONS]: Loaded button: test.ts
[19/12/2022, 16:02:45] [INFO - COMMANDS]: Successfully updated slash commands.
[19/12/2022, 16:02:45] [INFO - DB]: Connected to database
[19/12/2022, 16:05:27] [INFO - PROCESS]: Exiting with reason: "SIGUSR2"
