Starting procces. Date and time is 04/01/2023, 19:59:57


[04/01/2023, 19:59:58] [INFO - CLIENT]: Logged in as Oxyroid#6023
[04/01/2023, 19:59:58] [INFO - SERVER]: Server listening on port 4000
[04/01/2023, 19:59:58] [INFO - BUTTONS]: Loaded button: deleteMe.ts
[04/01/2023, 19:59:58] [INFO - BUTTONS]: Loaded button: helpCategory.ts
[04/01/2023, 19:59:59] [INFO - COMMANDS]: Loaded command: clear.ts
[04/01/2023, 19:59:59] [INFO - COMMANDS]: Loaded command: dump.ts
[04/01/2023, 19:59:59] [INFO - COMMANDS]: Loaded command: help.ts
[04/01/2023, 19:59:59] [INFO - COMMANDS]: Loaded command: invite.ts
[04/01/2023, 19:59:59] [INFO - COMMANDS]: Loaded command: effects.ts
[04/01/2023, 19:59:59] [INFO - COMMANDS]: Loaded command: pause.ts
[04/01/2023, 19:59:59] [INFO - COMMANDS]: Loaded command: play.ts
[04/01/2023, 20:00:00] [INFO - COMMANDS]: Loaded command: resume.ts
[04/01/2023, 20:00:00] [INFO - COMMANDS]: Loaded command: skip.ts
[04/01/2023, 20:00:00] [INFO - COMMANDS]: Loaded command: stop.ts
[04/01/2023, 19:59:58] [INFO - FEATURES]: Loaded feature: CreatePerGuildModel.ts
[04/01/2023, 20:00:00] [INFO - COMMANDS]: Loaded command: volume.ts
[04/01/2023, 19:59:58] [INFO - FEATURES]: Loaded feature: OnGuildAddRegisterCommands.ts
[04/01/2023, 20:00:00] [INFO - COMMANDS]: Successfully updated slash commands.
[04/01/2023, 20:00:00] [INFO - COMMANDS]: Loaded command: ping.ts
[04/01/2023, 20:00:01] [INFO - COMMANDS]: Successfully updated slash commands.
[04/01/2023, 20:00:01] [INFO - DB]: Connected to database
[04/01/2023, 20:00:04] [DEB - COMMANDS]: Command used: play
[04/01/2023, 20:00:11] [DEB - COMMANDS]: Command used: bassboost
[04/01/2023, 20:00:18] [DEB - COMMANDS]: Command used: bassboost
[04/01/2023, 20:00:28] [DEB - COMMANDS]: Command used: bassboost
[04/01/2023, 20:00:47] [DEB - COMMANDS]: Command used: bassboost
[04/01/2023, 20:01:00] [DEB - COMMANDS]: Command used: bassboost
[04/01/2023, 20:01:08] [DEB - COMMANDS]: Command used: stop
[04/01/2023, 20:01:19] [INFO - PROCESS]: Exiting with reason: "SIGUSR2"
