Starting procces. Date and time is 12/12/2022, 11:13:01


[12/12/2022, 11:13:01] [INFO - CLIENT]: Logged in as Oxyroid#6023
[12/12/2022, 11:13:01] [INFO - SERVER]: Server listening on port 4000
[12/12/2022, 11:13:02] [INFO - FEATURES]: Loaded feature: CreatePerGuildModel.ts
[12/12/2022, 11:13:02] [INFO - BUTTONS]: Loaded button: test.ts
[12/12/2022, 11:13:02] [INFO - COMMANDS]: Loaded command: clear.ts
[12/12/2022, 11:13:02] [INFO - COMMANDS]: Loaded command: help.ts
[12/12/2022, 11:13:02] [INFO - COMMANDS]: Loaded command: ping.ts
[12/12/2022, 11:13:02] [INFO - FEATURES]: Loaded feature: OnGuildAddRegisterCommands.ts
[12/12/2022, 11:13:02] [INFO - COMMANDS]: Loaded command: dump.ts
[12/12/2022, 11:13:02] [INFO - COMMANDS]: Successfully updated slash commands.
[12/12/2022, 11:13:03] [INFO - DB]: Connected to database
[12/12/2022, 11:13:13] [INFO - PROCESS]: Exiting with reason: "SIGINT"
