Starting procces. Date and time is 04/01/2023, 19:07:09


[04/01/2023, 19:07:10] [INFO - CLIENT]: Logged in as Oxyroid#6023
[04/01/2023, 19:07:10] [INFO - FEATURES]: Loaded feature: OnGuildAddRegisterCommands.ts
[04/01/2023, 19:07:10] [INFO - BUTTONS]: Loaded button: deleteMe.ts
[04/01/2023, 19:07:10] [INFO - BUTTONS]: Loaded button: helpCategory.ts
[04/01/2023, 19:07:10] [INFO - COMMANDS]: Loaded command: clear.ts
[04/01/2023, 19:07:10] [INFO - COMMANDS]: Loaded command: dump.ts
[04/01/2023, 19:07:10] [INFO - SERVER]: Server listening on port 4000
[04/01/2023, 19:07:10] [INFO - COMMANDS]: Loaded command: invite.ts
[04/01/2023, 19:07:10] [INFO - COMMANDS]: Loaded command: bassboost.ts
[04/01/2023, 19:07:11] [INFO - COMMANDS]: Loaded command: pause.ts
[04/01/2023, 19:07:11] [INFO - COMMANDS]: Loaded command: play.ts
[04/01/2023, 19:07:11] [INFO - COMMANDS]: Loaded command: resume.ts
[04/01/2023, 19:07:10] [INFO - COMMANDS]: Loaded command: help.ts
[04/01/2023, 19:07:11] [INFO - COMMANDS]: Loaded command: stop.ts
[04/01/2023, 19:07:11] [INFO - COMMANDS]: Loaded command: volume.ts
[04/01/2023, 19:07:11] [INFO - COMMANDS]: Loaded command: skip.ts
[04/01/2023, 19:07:10] [INFO - FEATURES]: Loaded feature: CreatePerGuildModel.ts
[04/01/2023, 19:07:11] [INFO - COMMANDS]: Successfully updated slash commands.
[04/01/2023, 19:07:11] [INFO - COMMANDS]: Loaded command: ping.ts
[04/01/2023, 19:07:12] [INFO - COMMANDS]: Successfully updated slash commands.
[04/01/2023, 19:07:12] [INFO - DB]: Connected to database
[04/01/2023, 19:07:30] [DEB - COMMANDS]: Command used: play
[04/01/2023, 19:07:42] [DEB - COMMANDS]: Command used: volume
[04/01/2023, 19:07:48] [DEB - COMMANDS]: Command used: volume
[04/01/2023, 19:07:52] [DEB - COMMANDS]: Command used: volume
[04/01/2023, 19:08:00] [DEB - COMMANDS]: Command used: bassboost
[04/01/2023, 19:08:21] [DEB - COMMANDS]: Command used: bassboost
[04/01/2023, 19:08:32] [DEB - COMMANDS]: Command used: play
[04/01/2023, 19:08:38] [DEB - COMMANDS]: Command used: skip
[04/01/2023, 19:08:53] [DEB - COMMANDS]: Command used: pause
[04/01/2023, 19:09:02] [DEB - COMMANDS]: Command used: resume
[04/01/2023, 19:09:46] [DEB - COMMANDS]: Command used: play
[04/01/2023, 19:09:53] [DEB - COMMANDS]: Command used: bassboost
[04/01/2023, 19:10:42] [DEB - COMMANDS]: Command used: volume
[04/01/2023, 19:10:47] [DEB - COMMANDS]: Command used: volume
[04/01/2023, 19:11:09] [DEB - COMMANDS]: Command used: bassboost
[04/01/2023, 19:14:28] [INFO - PROCESS]: Exiting with reason: "SIGUSR2"
