Starting procces. Date and time is 25/12/2022, 12:59:49


[25/12/2022, 12:59:50] [INFO - CLIENT]: Logged in as Oxyroid#6023
[25/12/2022, 12:59:50] [INFO - SERVER]: Server listening on port 4000
[25/12/2022, 12:59:51] [INFO - FEATURES]: Loaded feature: CreatePerGuildModel.ts
[25/12/2022, 12:59:51] [INFO - FEATURES]: Loaded feature: OnGuildAddRegisterCommands.ts
[25/12/2022, 12:59:51] [INFO - BUTTONS]: Loaded button: deleteMe.ts
[25/12/2022, 12:59:51] [INFO - COMMANDS]: Loaded command: clear.ts
[25/12/2022, 12:59:51] [INFO - BUTTONS]: Loaded button: helpCategory.ts
[25/12/2022, 12:59:51] [INFO - COMMANDS]: Loaded command: dump.ts
[25/12/2022, 12:59:52] [INFO - COMMANDS]: Loaded command: ping.ts
[25/12/2022, 12:59:52] [INFO - COMMANDS]: Loaded command: invite.ts
[25/12/2022, 12:59:52] [INFO - COMMANDS]: Loaded command: help.ts
[25/12/2022, 12:59:52] [INFO - COMMANDS]: Successfully updated slash commands.
[25/12/2022, 12:59:52] [INFO - DB]: Connected to database
[25/12/2022, 13:00:43] [INFO - PROCESS]: Exiting with reason: "SIGUSR2"
