Starting procces. Date and time is 20/12/2022, 16:50:53


[20/12/2022, 16:50:54] [INFO - CLIENT]: Logged in as Oxyroid#6023
[20/12/2022, 16:50:54] [INFO - SERVER]: Server listening on port 4000
[20/12/2022, 16:50:56] [INFO - BUTTONS]: Loaded button: test.ts
[20/12/2022, 16:50:56] [INFO - COMMANDS]: Loaded command: dump.ts
[20/12/2022, 16:50:56] [INFO - FEATURES]: Loaded feature: CreatePerGuildModel.ts
[20/12/2022, 16:50:56] [INFO - COMMANDS]: Loaded command: invite.ts
[20/12/2022, 16:50:56] [INFO - COMMANDS]: Loaded command: ping.ts
[20/12/2022, 16:50:56] [INFO - COMMANDS]: Loaded command: help.ts
[20/12/2022, 16:50:56] [INFO - COMMANDS]: Loaded command: clear.ts
[20/12/2022, 16:50:56] [INFO - FEATURES]: Loaded feature: OnGuildAddRegisterCommands.ts
[20/12/2022, 16:50:57] [INFO - COMMANDS]: Successfully updated slash commands.
[20/12/2022, 16:50:57] [INFO - DB]: Connected to database
