Starting procces. Date and time is 12/13/2022, 18:35:11


[12/13/2022, 18:35:12] [INFO - CLIENT]: Logged in as Oxyroid#6023
[12/13/2022, 18:35:12] [INFO - BUTTONS]: Loaded button: test.ts
[12/13/2022, 18:35:12] [INFO - COMMANDS]: Loaded command: clear.ts
[12/13/2022, 18:35:13] [INFO - COMMANDS]: Loaded command: dump.ts
[12/13/2022, 18:35:13] [INFO - COMMANDS]: Loaded command: help.ts
[12/13/2022, 18:35:13] [INFO - COMMANDS]: Loaded command: invite.ts
[12/13/2022, 18:35:13] [INFO - COMMANDS]: Loaded command: ping.ts
[12/13/2022, 18:35:12] [INFO - SERVER]: Server listening on port 4000
[12/13/2022, 18:35:12] [INFO - FEATURES]: Loaded feature: CreatePerGuildModel.ts
[12/13/2022, 18:35:12] [INFO - FEATURES]: Loaded feature: OnGuildAddRegisterCommands.ts
[12/13/2022, 18:35:13] [INFO - COMMANDS]: Successfully updated slash commands.
[12/13/2022, 18:35:13] [INFO - DB]: Connected to database
[12/13/2022, 18:35:14] [DEB - COMMANDS]: Command used: invite
[12/13/2022, 18:36:50] [DEB - COMMANDS]: Command used: help
[12/13/2022, 18:39:25] [INFO - PROCESS]: Exiting with reason: "SIGUSR2"
