Starting procces. Date and time is 04/01/2023, 18:57:39


[04/01/2023, 18:57:40] [INFO - CLIENT]: Logged in as Oxyroid#6023
[04/01/2023, 18:57:40] [INFO - SERVER]: Server listening on port 4000
[04/01/2023, 18:57:40] [INFO - FEATURES]: Loaded feature: CreatePerGuildModel.ts
[04/01/2023, 18:57:40] [INFO - FEATURES]: Loaded feature: OnGuildAddRegisterCommands.ts
[04/01/2023, 18:57:40] [INFO - BUTTONS]: Loaded button: deleteMe.ts
[04/01/2023, 18:57:40] [INFO - BUTTONS]: Loaded button: helpCategory.ts
[04/01/2023, 18:57:40] [INFO - COMMANDS]: Loaded command: clear.ts
[04/01/2023, 18:57:40] [INFO - COMMANDS]: Loaded command: dump.ts
[04/01/2023, 18:57:40] [INFO - COMMANDS]: Loaded command: help.ts
[04/01/2023, 18:57:40] [INFO - COMMANDS]: Loaded command: invite.ts
[04/01/2023, 18:57:40] [INFO - COMMANDS]: Loaded command: bassboost.ts
[04/01/2023, 18:57:40] [INFO - COMMANDS]: Loaded command: pause.ts
[04/01/2023, 18:57:41] [INFO - COMMANDS]: Loaded command: play.ts
[04/01/2023, 18:57:41] [INFO - COMMANDS]: Loaded command: resume.ts
[04/01/2023, 18:57:41] [INFO - COMMANDS]: Loaded command: skip.ts
[04/01/2023, 18:57:41] [INFO - COMMANDS]: Loaded command: stop.ts
[04/01/2023, 18:57:41] [INFO - COMMANDS]: Loaded command: volume.ts
[04/01/2023, 18:58:03] [INFO - COMMANDS]: Successfully updated slash commands.
[04/01/2023, 18:58:04] [INFO - COMMANDS]: Loaded command: ping.ts
[04/01/2023, 18:58:04] [INFO - COMMANDS]: Successfully updated slash commands.
[04/01/2023, 18:59:04] [INFO - COMMANDS]: Successfully updated slash commands.
[04/01/2023, 18:59:05] [INFO - DB]: Connected to database
[04/01/2023, 18:59:11] [INFO - PROCESS]: Exiting with reason: "SIGUSR2"
